t,bid,ask,mid,book_bid,book_ask,inventory,cash,pnl,spread
206,98.310605,99.490605,99.350605,99.300605,99.400605,8.000000,-742.230956,52.573886,1.180000
207,98.551493,99.711493,99.531493,99.481493,99.581493,7.000000,-642.519464,54.200985,1.160000
208,98.962789,100.102789,99.882789,99.832789,99.932789,6.000000,-542.416675,56.880059,1.140000
209,98.857511,99.977511,99.717511,99.667511,99.767511,5.000000,-442.439164,56.148389,1.120000
210,99.067078,100.167078,99.867078,99.817078,99.917078,4.000000,-342.272086,57.196226,1.100000
211,99.091780,100.171780,99.831780,99.781780,99.881780,4.000000,-342.272086,57.055035,1.080000
212,99.184196,100.264196,99.924196,99.874196,99.974196,5.000000,-441.456282,58.164698,1.080000
213,99.044888,100.144888,99.844888,99.794888,99.894888,4.000000,-341.311395,58.068156,1.100000
214,98.783009,99.863009,99.523009,99.473009,99.573009,4.000000,-341.311395,56.780641,1.080000
215,98.859950,99.939950,99.599950,99.549950,99.649950,5.000000,-440.171345,57.828406,1.080000
216,98.706164,99.806164,99.506164,99.456164,99.556164,4.000000,-340.365180,57.659478,1.100000
217,98.725123,99.805123,99.465123,99.415123,99.515123,5.000000,-439.090303,58.235312,1.080000
218,98.691842,99.791842,99.491842,99.441842,99.541842,4.000000,-339.298461,58.668908,1.100000
219,98.757188,99.837188,99.497188,99.447188,99.547188,3.000000,-239.461274,59.030289,1.080000
220,99.084297,100.144297,99.764297,99.714297,99.814297,4.000000,-338.545571,60.511617,1.060000
221,99.062169,100.142169,99.802169,99.752169,99.852169,3.000000,-238.403402,61.003105,1.080000
222,99.192943,100.252943,99.872943,99.822943,99.922943,2.000000,-138.150459,61.595428,1.060000
223,99.350603,100.390603,99.970603,99.920603,100.020603,3.000000,-237.501061,62.410747,1.040000
224,99.334653,100.394653,100.014653,99.964653,100.064653,2.000000,-137.106409,62.922897,1.060000
225,99.321337,100.361337,99.941337,99.891337,99.991337,2.000000,-137.106409,62.776266,1.040000
226,99.332627,100.372627,99.952627,99.902627,100.002627,3.000000,-236.439036,63.418846,1.040000
227,99.141376,100.201376,99.821376,99.771376,99.871376,4.000000,-335.580412,63.705092,1.060000
228,99.036660,100.116660,99.776660,99.726660,99.826660,4.000000,-335.580412,63.526229,1.080000
229,99.362586,100.442586,100.102586,100.052586,100.152586,4.000000,-335.580412,64.829934,1.080000
230,99.675258,100.755258,100.415258,100.365258,100.465258,4.000000,-335.580412,66.080620,1.080000
231,99.883893,100.963893,100.623893,100.573893,100.673893,5.000000,-435.464305,67.655162,1.080000
232,99.857793,100.957793,100.657793,100.607793,100.707793,6.000000,-535.322098,68.624660,1.100000
233,99.923755,101.043755,100.783755,100.733755,100.833755,5.000000,-434.278343,69.640433,1.120000
234,99.952819,101.052819,100.752819,100.702819,100.802819,5.000000,-434.278343,69.485754,1.100000
235,99.611127,100.711127,100.411127,100.361127,100.461127,4.000000,-333.567216,68.077291,1.100000
236,99.697222,100.777222,100.437222,100.387222,100.487222,4.000000,-333.567216,68.181671,1.080000
237,99.833403,100.913403,100.573403,100.523403,100.623403,3.000000,-232.653814,69.066394,1.080000
238,100.162677,101.222677,100.842677,100.792677,100.892677,3.000000,-232.653814,69.874218,1.060000
239,100.151501,101.211501,100.831501,100.781501,100.881501,3.000000,-232.653814,69.840690,1.060000
240,99.889577,100.949577,100.569577,100.519577,100.619577,3.000000,-232.653814,69.054917,1.060000
241,100.282082,101.342082,100.962082,100.912082,101.012082,2.000000,-131.311732,70.612432,1.060000
242,100.205628,101.245628,100.825628,100.775628,100.875628,2.000000,-131.311732,70.339524,1.040000
243,100.301421,101.341421,100.921421,100.871421,100.971421,1.000000,-29.970310,70.951111,1.040000
244,100.329401,101.349401,100.889401,100.839401,100.939401,0.000000,71.379090,71.379090,1.020000
245,100.410177,101.410177,100.910177,100.860177,100.960177,-1.000000,172.789267,71.879090,1.000000
246,100.337981,101.357981,100.797981,100.747981,100.847981,-2.000000,274.147248,72.551286,1.020000
247,100.057161,101.097161,100.477161,100.427161,100.527161,-3.000000,375.244410,73.812926,1.040000
248,100.455643,101.515643,100.835643,100.785643,100.885643,-3.000000,375.244410,72.737481,1.060000
249,100.364981,101.424981,100.744981,100.694981,100.794981,-4.000000,476.669390,73.689467,1.060000
250,100.321020,101.401020,100.661020,100.611020,100.711020,-4.000000,476.669390,74.025312,1.080000
251,100.546773,101.626773,100.886773,100.836773,100.936773,-4.000000,476.669390,73.122297,1.080000
252,100.470512,101.550512,100.810512,100.760512,100.860512,-4.000000,476.669390,73.427341,1.080000
253,100.284236,101.364236,100.624236,100.574236,100.674236,-4.000000,476.669390,74.172445,1.080000
254,100.364024,101.444024,100.704024,100.654024,100.754024,-4.000000,476.669390,73.853295,1.080000
255,100.468477,101.548477,100.808477,100.758477,100.858477,-4.000000,476.669390,73.435484,1.080000
256,100.382413,101.462413,100.722413,100.672413,100.772413,-4.000000,476.669390,73.779737,1.080000
257,100.280302,101.360302,100.620302,100.570302,100.670302,-4.000000,476.669390,74.188183,1.080000
258,100.403339,101.483339,100.743339,100.693339,100.793339,-4.000000,476.669390,73.696036,1.080000
259,100.147247,101.227247,100.487247,100.437247,100.537247,-5.000000,577.896638,75.460402,1.080000
260,100.224776,101.324776,100.524776,100.474776,100.574776,-4.000000,477.671862,75.572759,1.100000
261,100.305636,101.385636,100.645636,100.595636,100.695636,-4.000000,477.671862,75.089318,1.080000
262,100.124061,101.204061,100.464061,100.414061,100.514061,-3.000000,377.547801,76.155619,1.080000
263,99.842049,100.902049,100.222049,100.172049,100.272049,-4.000000,478.449850,77.561654,1.060000
264,99.601946,100.681946,99.941946,99.891946,99.991946,-4.000000,478.449850,78.682065,1.080000
265,99.487228,100.567228,99.827228,99.777228,99.877228,-4.000000,478.449850,79.140939,1.080000
266,99.743101,100.823101,100.083101,100.033101,100.133101,-4.000000,478.449850,78.117445,1.080000
267,99.738252,100.818252,100.078252,100.028252,100.128252,-4.000000,478.449850,78.136843,1.080000
268,99.862475,100.942475,100.202475,100.152475,100.252475,-4.000000,478.449850,77.639951,1.080000
269,100.013959,101.093959,100.353959,100.303959,100.403959,-3.000000,378.435891,77.374014,1.080000
270,99.966195,101.026195,100.346195,100.296195,100.396195,-3.000000,378.435891,77.397305,1.060000
271,100.242337,101.302337,100.622337,100.572337,100.672337,-4.000000,479.738228,77.248881,1.060000
272,100.165423,101.245423,100.505423,100.455423,100.555423,-4.000000,479.738228,77.716536,1.080000
273,99.835946,100.915946,100.175946,100.125946,100.225946,-5.000000,580.654174,79.774445,1.080000
274,99.490006,100.590006,99.790006,99.740006,99.840006,-5.000000,580.654174,81.704144,1.100000
275,99.432175,100.532175,99.732175,99.682175,99.782175,-6.000000,681.186349,82.793297,1.100000
276,99.728100,100.848100,99.988100,99.938100,100.038100,-6.000000,681.186349,81.257750,1.120000
277,99.805652,100.925652,100.065652,100.015652,100.115652,-6.000000,681.186349,80.792436,1.120000
278,99.788856,100.908856,100.048856,99.998856,100.098856,-5.000000,581.397492,81.153211,1.120000
279,99.797820,100.897820,100.097820,100.047820,100.147820,-6.000000,682.295312,81.708393,1.100000
280,99.797495,100.917495,100.057495,100.007495,100.107495,-6.000000,682.295312,81.950344,1.120000
281,99.731515,100.851515,99.991515,99.941515,100.041515,-6.000000,682.295312,82.346222,1.120000
282,99.912261,101.032261,100.172261,100.122261,100.222261,-5.000000,582.383052,81.521748,1.120000
283,99.973124,101.073124,100.273124,100.223124,100.323124,-4.000000,482.409927,81.317430,1.100000
284,99.883733,100.963733,100.223733,100.173733,100.273733,-3.000000,382.526194,81.854994,1.080000
285,99.773191,100.833191,100.153191,100.103191,100.203191,-3.000000,382.526194,82.066620,1.060000
286,99.587950,100.647950,99.967950,99.917950,100.017950,-4.000000,483.174143,83.302345,1.060000
287,99.463046,100.543046,99.803046,99.753046,99.853046,-5.000000,583.717190,84.701959,1.080000
